id,task_1,task_2
a94fd927-3bb43721,satire,satire
a6aeb0bb-a1a613e0,satire,satire
2672f694-a3c1ccb1,no-satire,no-satire
af57a282-fa27375b,no-satire,no-satire
d1529f5c-3cfed8d0,no-satire,no-satire
605b93d6-dc1084d1,no-satire,no-satire
7464feca-264adc3f,no-satire,no-satire
9326a969-bc861fde,satire,satire
14bd8c18-3ef34ff4,no-satire,no-satire
3f0289e7-f960e95b,satire,satire
dd82d4a7-c179866c,satire,satire
826ca3d7-8718fa23,no-satire,no-satire
58fd140a-7ddccb68,satire,satire
1bf75efa-fcf1c8fc,satire,satire
bdd39c01-51e6f1ba,no-satire,no-satire
62253312-1d54bc84,no-satire,no-satire
59e12916-89b0e771,satire,satire
207ddc65-f986e806,no-satire,no-satire
2e0fc553-8b2e79f3,satire,satire
df0b47e8-c6894285,no-satire,no-satire
283a6589-7c6d445e,no-satire,no-satire
6c8cdf09-adbbfc51,satire,satire
05db7411-44bb3adb,no-satire,no-satire
73614e10-02bf0c45,no-satire,no-satire
62d4437e-b7cedca4,no-satire,no-satire
16233e35-226b1eed,no-satire,no-satire
94a9d156-33a33072,no-satire,no-satire
21b214da-2244de6c,satire,satire
1035a73a-a20ead3e,no-satire,no-satire
39794ca3-2d518f59,no-satire,no-satire
fa6ba826-485000d7,no-satire,no-satire
34b29af3-e4333402,no-satire,no-satire
9b81a93e-65072049,satire,satire
a1b31eff-b9a92bcc,no-satire,no-satire
efa38107-9b92f4ab,satire,satire
8dadb6d9-eb319d5e,satire,satire
602c6a6e-f7e4c4ad,no-satire,no-satire
74bb770d-db8d5ba1,no-satire,no-satire
1b67ea8f-4fd9f895,satire,satire
2939c858-3c5a8a21,no-satire,no-satire
0758b855-077f37de,no-satire,no-satire
86e9faff-44aa8457,satire,satire
4c53762b-838cfd47,no-satire,no-satire
0e6b39da-f50f9e52,satire,satire
be7a2879-c8999880,no-satire,no-satire
28589f89-6e736450,no-satire,no-satire
e847cc6e-7fc7b116,no-satire,no-satire
d3d468b2-83e5e5b3,satire,satire
a75e5e9a-c26655eb,satire,satire
39c55267-d8ac2c03,satire,satire
8d447cc6-f9fb2a5c,satire,satire
1d5b7ed7-31ea2502,satire,satire
d4af4805-7137a7fc,satire,satire
75fa2cd9-a109bbee,no-satire,no-satire
a0b2f2da-cdb470dc,no-satire,no-satire
9715c65e-695523a1,no-satire,no-satire
b4c1736a-927bf01c,no-satire,no-satire
53c66adf-61fbc9b5,satire,satire
61fe2976-56caa527,no-satire,no-satire
9c7c9bc5-9ca81f08,no-satire,no-satire
fee8ed24-5944f90f,satire,satire
80f3388b-ecc1c1a9,no-satire,no-satire
f1e72543-50af726c,satire,satire
9f73d134-dd9a3027,satire,satire
cbc89910-b5b9329f,satire,satire
9b4aed58-f13f1535,satire,satire
cc5c680e-1e841fdd,satire,satire
c82a9a7f-f07b5b74,no-satire,no-satire
42d4d081-2e8a4c4c,satire,satire
ab346e50-1870741f,no-satire,no-satire
b4f7ead7-e1b8b71a,no-satire,no-satire
c8abb4ef-5a338647,no-satire,no-satire
21e69290-a217873e,no-satire,no-satire
74b17061-c3bddcaa,no-satire,no-satire
fa56859b-1a907545,satire,satire
d3a3604e-489244a6,no-satire,no-satire
531736ec-8c0fc4fc,no-satire,no-satire
f580dd2c-6053a998,satire,satire
2e0e4192-6b595e0c,satire,satire
c7edb195-38aa02fd,satire,satire
ee3a19ca-b3b6fa1d,satire,satire
428f37d5-2e883dd5,satire,satire
dfa5b1be-ecb5f4f2,satire,satire
589f468a-5f96ea8b,no-satire,no-satire
5713e1aa-9bc5230f,no-satire,no-satire
6bd3b6ce-54835651,no-satire,no-satire
21e503b9-0e243e17,satire,satire
0582bd91-c1985411,no-satire,no-satire
3ac4a127-1c0e59b6,satire,satire
51e4cc40-be103558,satire,satire
93b7796d-5a79d400,satire,satire
1f5e3d8b-77df986e,satire,satire
5250d7ee-841cd679,no-satire,no-satire
9d103f79-9795d134,no-satire,no-satire
68766815-d313b6d7,satire,satire
78b05f47-2c07fd2d,no-satire,no-satire
ae73ca30-08d4b495,no-satire,no-satire
07ec19c6-04db44ce,satire,satire
a4ad0a12-90b81107,no-satire,no-satire
7a0704e4-0b5caf61,no-satire,no-satire
fce51003-a52babf6,no-satire,no-satire
04dcf4d4-1f341ee2,no-satire,no-satire
6226c5d9-d9de05c6,satire,satire
814bc305-bab84817,no-satire,no-satire
bbc0c815-a56dab38,no-satire,no-satire
f7780eac-4fe291c5,no-satire,no-satire
bd28a287-34170ca5,no-satire,no-satire
f9bd4469-43b9a93b,satire,satire
bb2d6782-10e2c4fb,no-satire,no-satire
a8607c3c-65656796,no-satire,no-satire
bbbf082c-b3ff85b4,no-satire,no-satire
64381d61-2d9179c2,no-satire,no-satire
030be1de-c4774826,no-satire,no-satire
4bb072e6-c2e494f7,satire,satire
ad42b1fc-b4f82b73,satire,satire
4dcbbc7b-8ab02cbe,no-satire,no-satire
044d0e98-ba1c8555,no-satire,no-satire
463c9add-aee4c928,no-satire,no-satire
8d412c8f-149c538b,satire,satire
a2ed2a06-519bba75,no-satire,no-satire
d951f048-58934d7d,no-satire,no-satire
3a2d0d82-a66acb29,satire,satire
1af8483a-6a2b8f1d,no-satire,no-satire
f64dcd15-1d57164f,no-satire,no-satire
33bd6eac-7c9dbef4,no-satire,no-satire
05daa665-a8e1c386,no-satire,no-satire
bb09a697-5d48935e,no-satire,no-satire
ae7b1912-e5545ccd,no-satire,no-satire
7e8bde42-422efe9b,satire,satire
613ea3a3-fb5c6971,satire,satire
ffc0a5c2-dbb2d44e,no-satire,no-satire
ddc449dc-340e1f38,satire,satire
2aa52539-220ff77b,satire,satire
4fc04549-e1850949,satire,satire
6f726f18-046e5a42,no-satire,no-satire
00784e8a-ad018892,satire,satire
c05dde35-038c1cae,satire,satire
c069728e-9f0993e8,no-satire,no-satire
3eac196b-ba28a822,satire,satire
81b03335-3551e52c,no-satire,no-satire
d5700d8d-96cda197,satire,satire
64c5577f-7da6adcc,no-satire,no-satire
d8502b3b-82e57062,no-satire,no-satire
fb8ccf0c-e9b04b49,satire,satire
22a7bb89-7dc7a06a,no-satire,no-satire
e1e500c4-2984c402,satire,satire
3bcfb899-a54119f5,no-satire,no-satire
9107057e-558d846b,satire,satire
74f1eb32-6913879a,no-satire,no-satire
ad7d3883-2fb1a27a,satire,satire
e5e6d715-9eebd435,no-satire,no-satire
fe0e86c0-0c096998,no-satire,no-satire
81926151-43eccb94,satire,satire
6c31e313-5f14aa29,no-satire,no-satire
2a2252f8-4e8a46d0,satire,satire
c561c39c-8197e093,satire,satire
be502473-7ffdc177,satire,satire
b0f8138e-95dbde83,satire,satire
9f70d06b-8291c6d6,no-satire,no-satire
9c09c7c5-85a73874,satire,satire
4a500c70-a5adb058,satire,satire
7692b979-27817e0d,no-satire,no-satire
c4cce651-d59b2314,satire,satire
7e6b9713-ee51b8ad,no-satire,no-satire
fbba37c5-e6962c74,satire,satire
9da4e2c0-1e584677,no-satire,no-satire
baa84a23-a74bf064,no-satire,no-satire
fa8a800d-e93d1b57,satire,satire
f6dd154c-7541ee64,no-satire,no-satire
0cc93f04-d6bb7b27,satire,satire
a39f8852-56143898,satire,satire
186a3a13-38a284fc,satire,satire
3b0a7c7f-96c766d1,no-satire,no-satire
5313f31b-4750bee3,no-satire,no-satire
74d78d99-1fbb9f98,no-satire,no-satire
4dc08e1f-126809ce,no-satire,no-satire
7e206f15-0f6e2f75,no-satire,no-satire
3d12a556-b59e2e2a,satire,satire
6b2074df-27428e77,no-satire,no-satire
1eaf087b-f40e6db2,satire,satire
fdcca37c-6d946450,no-satire,no-satire
84aeaa01-86e85bfb,no-satire,no-satire
7008b76b-14f0d582,satire,satire
d48ec5c0-c3e7747a,no-satire,no-satire
c2eb4a9e-b3991187,no-satire,no-satire
ffdeabcf-e5e76757,satire,satire
eb8d8d13-8165f907,satire,satire
468ffc8a-9c0ba04f,no-satire,no-satire
bce901e3-aa8aa2db,no-satire,no-satire
505ba5bb-4a87f0e5,satire,satire
d579ef35-e9ae7e6f,satire,satire
12429bff-78e60225,satire,satire
bd8681a5-d0994e79,satire,satire
41abe648-2a0bb326,satire,satire
3cbbeeaf-90205cad,satire,satire
7eeaaabe-7ba064c5,satire,satire
056d52aa-fae45a22,no-satire,no-satire
19c4d248-706b005a,satire,satire
193635b7-9c73ba64,satire,satire
16a50f58-d7eeb723,no-satire,no-satire
679437ec-6148967d,no-satire,no-satire
6dd90218-95c3c474,no-satire,no-satire
ed8f9c0f-45c8b73c,satire,satire
37e63d11-145f903d,satire,satire
cfb093bf-f8668afd,no-satire,no-satire
c0bf0fda-3f95bed8,satire,satire
ab3829fb-aa2409e4,satire,satire
1e0c4002-668151cf,satire,satire
8cfcdf72-3b12995b,no-satire,no-satire
97a7731c-5b041805,no-satire,no-satire
1df3e62e-c407d705,satire,satire
d319ee52-facd2b30,satire,satire
d39bf285-f955088b,satire,satire
9287fe23-b7fa8d2f,no-satire,no-satire
9121a5c9-71a81d65,no-satire,no-satire
cbeb9684-8f81cd75,no-satire,no-satire
62009e0a-07e98832,satire,satire
281cc75e-910c2766,satire,satire
8ca1e18d-5a22a216,satire,satire
52cf839e-2a93afe6,no-satire,no-satire
46286bb8-f578fdcb,no-satire,no-satire
7a15e15b-6c7e6ae8,satire,satire
b06f2342-a00a4d92,satire,satire
32dc90bf-addb145d,satire,satire
4dfd377d-85a914e1,satire,satire
4f84c3c8-37a59cde,no-satire,no-satire
7ab2882b-11ce940a,no-satire,no-satire
591b16e3-10cb21b3,satire,satire
012fc7c5-dc543aca,satire,satire
46998383-35987ba7,no-satire,no-satire
9f7d26ca-39160e08,satire,satire
e392eb4e-91eea120,no-satire,no-satire
8904b887-a5cfb2bd,no-satire,no-satire
3c0f4f3d-a249c098,no-satire,no-satire
e2adeed1-b3c68911,no-satire,no-satire
87457825-3832ea94,satire,satire
140b5821-4baba702,no-satire,no-satire
88ab0bb8-027b4c49,no-satire,no-satire
29cf52aa-6ee83c14,satire,satire
a8bf9022-14616e6a,satire,satire
82a5e317-fcb81605,no-satire,no-satire
853959d1-d9aa3de5,no-satire,no-satire
b74e7b03-3f45fd74,satire,satire
49962c73-744a953f,no-satire,no-satire
9ec0f1ea-e1547f34,no-satire,no-satire
2f97fd51-b9c09098,satire,satire
e445b051-0278ed12,satire,satire
e2320d6c-40d64127,satire,satire
745bd91a-89ee5313,no-satire,no-satire
41aa59ae-7988e4b2,no-satire,no-satire
cbe07f53-0dd716bc,no-satire,no-satire
042e3a9c-957f5db6,satire,satire
a5c8bb75-4ddc2c78,satire,satire
cb784c6c-cd2fec78,no-satire,no-satire
3ace1687-f3473576,satire,satire
7ef07228-b0082a58,no-satire,no-satire
9f8b4076-b4891aa0,satire,satire
130b5db3-f3f62c49,no-satire,no-satire
08db58ad-3967a60b,no-satire,no-satire
593d5154-57a29317,satire,satire
1467e135-f3963c56,satire,satire
e01b3191-aaeda496,no-satire,no-satire
583f4c52-640ed929,no-satire,no-satire
9f0c7abb-00975a70,no-satire,no-satire
a356f398-69ab32f9,satire,satire
9c13871d-b56b6dfc,satire,satire
7af767c0-eca9181e,no-satire,no-satire
6a92b8b1-9c5d05ff,satire,satire
870dae10-3b52c069,no-satire,no-satire
af03ac35-ab33d06f,no-satire,no-satire
7abf949f-de3b2069,no-satire,no-satire
08974bce-f104264f,no-satire,no-satire
a3aa2436-2c2f5886,no-satire,no-satire
f55d02f0-59a24d9d,no-satire,no-satire
a11a0e06-3a8ddfd3,no-satire,no-satire
4a474674-90bf0d96,satire,satire
48b69265-c20e0b44,satire,satire
ca8a6724-b6428abf,satire,satire
64edfdb1-4729bd2d,satire,satire
c79c4320-a09479cf,no-satire,no-satire
c9326384-e4b5d81f,satire,satire
aafc4042-c54637cb,no-satire,no-satire
4f4539fb-fc43c253,no-satire,no-satire
adf16e59-6ec7f26e,no-satire,no-satire
78448a2f-69dc1635,no-satire,no-satire
e1e1cdb7-f5a62262,satire,satire
8c49dcc3-bcee3b8a,satire,satire
ff2e836b-7ac15216,no-satire,no-satire
6fa38697-3ef1f75c,no-satire,no-satire
5415c46b-6af65ed2,no-satire,no-satire
ebbe3e01-1c19e3dc,no-satire,no-satire
7475a4df-aa1af119,no-satire,no-satire
b9a602c0-bd6f0609,satire,satire
996d8346-8e076191,no-satire,no-satire
4086fdc2-481fe187,satire,satire
4844e306-8845cb97,satire,satire
2f00935b-4976acd4,no-satire,no-satire
f806ae90-368d7ec8,no-satire,no-satire
d3807640-65f5f8d7,no-satire,no-satire
ffcdcc02-3dd10c12,satire,satire
a215d9ed-3961d678,satire,satire
547382cc-72476166,satire,satire
89e1052b-523b7ad6,no-satire,no-satire
cbd33d1a-e9d8ff8c,no-satire,no-satire
22bcbb93-3a960040,satire,satire
f89b45e3-adb2d958,no-satire,no-satire
1c986cae-d9cacd6b,satire,satire
39c810fe-1766fccd,satire,satire
2c528625-734613d6,no-satire,no-satire
b75f2de3-f090f676,no-satire,no-satire
637b681c-cdfebbae,satire,satire
a5300089-d51d0ab7,satire,satire
46864564-c3717764,no-satire,no-satire
4bb14d8a-32e330e9,no-satire,no-satire
4c061e25-fa3ff4c0,no-satire,no-satire
2bb2eafc-1d9fd600,satire,satire
e4a033b0-25d652ce,satire,satire
77ab95a7-8a875f78,no-satire,no-satire
b153b990-378b2177,satire,satire
b8ee5767-1d112e1a,satire,satire
bd217d9b-d47e900a,no-satire,no-satire
707ed288-8c95b4b4,satire,satire
3a19a45b-4370c02b,no-satire,no-satire
3fda468e-16df3c3d,satire,satire
de74dfb6-72d0ea77,satire,satire
7aed4685-53ba1ba6,no-satire,no-satire
a344229e-84a644d6,no-satire,no-satire
7c13a94a-dca0eda9,no-satire,no-satire
85fd8c43-9690a6ff,no-satire,no-satire
8c1fc236-af8f122d,no-satire,no-satire
40578070-5b62ea01,no-satire,no-satire
ddb3c771-a83cb8af,satire,satire
759834fc-eb0d5768,satire,satire
966a907b-5c57e8c8,no-satire,no-satire
1e3ebac8-d4db91d7,satire,satire
f5804e24-500ade08,satire,satire
736beac4-0118b02b,satire,satire
d521f415-f355430b,satire,satire
e4a3adbc-2babe3ef,satire,satire
d9582867-c0bf0093,satire,satire
5b26a479-4e87be5f,satire,satire
2f01fa70-f7643d56,no-satire,no-satire
77bdfb21-fc316506,no-satire,no-satire
8839d97a-e25593e5,satire,satire
ad7a208f-5dbb6de6,no-satire,no-satire
647776de-5cf0a7de,no-satire,no-satire
abbb648e-13156fcc,satire,satire
101ac41c-c4bd604e,no-satire,no-satire
72097f82-78c587ff,no-satire,no-satire
3adadf4c-755e78bc,satire,satire
400db882-375f8e5c,no-satire,no-satire
58d11579-907e7542,satire,satire
7546249c-821d3128,satire,satire
5f894f7d-9cbc82ad,no-satire,no-satire
42a2acdb-59370d78,satire,satire
88a6213a-ef45e19a,satire,satire
fafa2be5-ee99db1e,no-satire,no-satire
f1882fd8-2abb2fd5,satire,satire
4792b96f-98bb0a8a,no-satire,no-satire
2d40877d-93f33fde,satire,satire
9ec7733a-01a3ea94,no-satire,no-satire
3cc599ea-d2935ac1,satire,satire
6cebe4f7-0345e306,no-satire,no-satire
0857a027-8d21712e,no-satire,no-satire
2bddc720-3d7d3fdc,no-satire,no-satire
4e211e2b-38dcfba3,satire,satire
ef8a6d42-2f00e954,satire,satire
1bb560ee-537719b6,satire,satire
5874f36c-dc091057,no-satire,no-satire
c23b7a5b-8357c256,no-satire,no-satire
627b371f-51aaeb54,no-satire,no-satire
4e010cef-97d8f96a,satire,satire
06c566cf-1f7cdb6e,satire,satire
895a8010-b6683307,no-satire,no-satire
556f11dc-fe80de6d,no-satire,no-satire
cf3d1364-5d32964e,satire,satire
a79aa415-e6197552,no-satire,no-satire
2ed516c7-320a45fa,no-satire,no-satire
11f5f646-ac15147a,no-satire,no-satire
5eb299bf-00a3ef13,satire,satire
79a877ef-988bc764,no-satire,no-satire
e44edf46-2742c22f,no-satire,no-satire
2651dbbd-e79804af,satire,satire
1ea082ef-be3566c9,no-satire,no-satire
06f83e70-841033f8,no-satire,no-satire
f91dae7c-74a5f204,satire,satire
5bec4fdf-4573e12f,no-satire,no-satire
f2a539a1-f468f397,satire,satire
2f213465-de1cd384,satire,satire
61621e30-c2815971,satire,satire
4cd05279-25a32d53,no-satire,no-satire
914e4ab3-d67e647b,no-satire,no-satire
8c5a7da7-8fdd67d6,satire,satire
e9f31cd1-4ec50572,no-satire,no-satire
a394e422-059f5c3d,satire,satire
6b87b745-e8895d2e,satire,satire
de8e605b-291e890c,satire,satire
7313f2a5-a09cff9e,satire,satire
3cf2eece-e247ca58,satire,satire
ad95979a-ac1c4e63,no-satire,no-satire
36d33522-ff4d1d36,no-satire,no-satire
f29c1aed-8bc4cb41,satire,satire
a6cc2a0c-46119b94,no-satire,no-satire
57983d56-c5c0c39a,satire,satire
6bc8e96c-90d339ae,no-satire,no-satire
9b9de71f-f70e2f2c,satire,satire
b68e4ad4-cf0d1068,no-satire,no-satire
de7b7046-459b5243,satire,satire
bc98980c-e78b63fa,satire,satire
a0705820-487e9b12,satire,satire
92ad024d-0f884565,no-satire,no-satire
dde4209f-4ec59a43,no-satire,no-satire
e7e7a385-b8ad4cbe,satire,satire
efff4f1e-ffdadb02,no-satire,no-satire
896a7fa1-b842a0db,satire,satire
6ee80034-371e9f53,satire,satire
e9757215-066fbc9d,no-satire,no-satire
8c5bc6ef-fdfd988c,no-satire,no-satire
cf748ced-863c8fe9,satire,satire
aaa3a976-bf841985,no-satire,no-satire
f4f603d9-2097d1df,no-satire,no-satire
eccb3679-8dff8287,satire,satire
33e04bf7-840cf7ff,no-satire,no-satire
307c0a99-c31b3d5d,satire,satire
d7bccdce-6ce3b059,satire,satire
272ac45e-99c49c81,satire,satire
b72b0bfc-b48db4c7,satire,satire
5f4ff486-cebb16ed,satire,satire
eccadfaf-bb2acb0c,satire,satire
dc65fcc7-9cfd1f25,satire,satire
8d5cf37f-9023672a,satire,satire
4ac38932-12d4a18c,no-satire,no-satire
7958cdf3-255949f3,no-satire,no-satire
fd242be2-3aad2aaa,satire,satire
18453c8e-637e19b1,no-satire,no-satire
5f54fd4d-a309b6ec,no-satire,no-satire
8fbd4f85-fd3610c9,no-satire,no-satire
47cf4ae8-1237c8b0,no-satire,no-satire
41c45d08-ddab6b5a,no-satire,no-satire
650a4348-b6029ed5,no-satire,no-satire
c41ad1ec-9a7ed14d,no-satire,no-satire
e42c359e-25340086,satire,satire
8b75d056-8bb75225,no-satire,no-satire
b6e1098b-800048c7,satire,satire
7563767c-96580be1,no-satire,no-satire
0c45ceb4-8a24ffbc,no-satire,no-satire
4524270e-87ed9732,no-satire,no-satire
e4d528d0-2521dbaf,satire,satire
3357d9b8-8a4087b9,no-satire,no-satire
c0e7348e-1687f67c,no-satire,no-satire
059b1c34-a0f9404e,no-satire,no-satire
37be5d8d-c1aa514d,satire,satire
338da267-dbb23d53,satire,satire
421d1726-2efb5e1e,no-satire,no-satire
6662649d-42c4524c,no-satire,no-satire
2e6e8790-b3f0124f,satire,satire
d020f4e1-20a49031,satire,satire
23a2f1c4-322f0242,no-satire,no-satire
36dbcb7f-424a279e,no-satire,no-satire
14efde11-8f6ce65e,satire,satire
d1379242-ab3b5f4f,no-satire,no-satire
bd7ccc58-641267d6,no-satire,no-satire
251d068c-d5014bc4,no-satire,no-satire
f4fd33f5-08ce4e06,no-satire,no-satire
886fdc6c-cf4dbde5,satire,satire
01552a60-9ba36902,satire,satire
9c56055e-380747c1,no-satire,no-satire
f6e25606-001576c9,satire,satire
cf4d58cb-5d3ef82e,satire,satire
16c3ea58-0839353b,satire,satire
8126e7cb-56a930ea,no-satire,no-satire
cb5505bc-4317fff5,no-satire,no-satire
2d23a6ae-8b2ba127,satire,satire
e2bfa2ba-9e177a72,satire,satire
ff49b5c7-eb6f4e2a,satire,satire
c96d0c2c-d9def703,satire,satire
c93dafa0-d70a0bd0,no-satire,no-satire
5ac4d314-1f2c0313,no-satire,no-satire
0a351c17-37edbd75,satire,satire
0173b7ab-f93a67c6,satire,satire
747d8c28-89cfad67,no-satire,no-satire
209368d4-0767f50d,satire,satire
99ab17a9-0685ce1e,satire,satire
bd475336-1d99e371,satire,satire
6c147377-c5a7b02e,satire,satire
90d43d24-f8ba944b,satire,satire
59c53db2-8da3e70b,satire,satire
0f282c06-0843d436,satire,satire
fb76514b-8cc905c4,no-satire,no-satire
5ecbbaad-aed49d01,satire,satire
03118ca6-f1944fe0,satire,satire
f762955c-029c7785,no-satire,no-satire
760e6c67-29023b27,satire,satire
ca958c93-552dd64a,satire,satire
e9f945e8-34d7b6cf,satire,satire
68e57e30-5cddf3c8,no-satire,no-satire
35dad677-514b7a66,no-satire,no-satire
9ac67a7a-04475735,satire,satire
4d42a3f9-30180a12,no-satire,no-satire
b00d20e9-a8a265c8,satire,satire
6d965c9f-950020b5,satire,satire
290fe82f-e18ed2d1,satire,satire
10821ce1-f113cf31,no-satire,no-satire
464da5f5-9019e38d,no-satire,no-satire
8aad49ab-43d4bef3,satire,satire
34009d77-0a9a57ac,satire,satire
4fb5b2f8-0cd08a71,no-satire,no-satire
d17750a9-39b67072,no-satire,no-satire
8d2361d7-99f83313,no-satire,no-satire
2a90083d-7f0aea40,no-satire,no-satire
8d54f7f8-88f9090e,no-satire,no-satire
7e42dde7-0781a9e6,satire,satire
75c74bb2-636d189c,no-satire,no-satire
6b38cc9a-ae21b339,no-satire,no-satire
efd998af-8849dd30,no-satire,no-satire
3c286dab-cac8bb2e,satire,satire
edc73ed5-9ba344b5,no-satire,no-satire
94a2b00b-3a730687,no-satire,no-satire
42a9fbe3-a8544bdd,satire,satire
77453b8a-d5acce1b,no-satire,no-satire
fc58de51-6c332c9f,no-satire,no-satire
67085de7-e10d48ad,satire,satire
441363b0-b6bd3a26,satire,satire
20066f0d-46cca56d,no-satire,no-satire
ed7bd828-2155d856,no-satire,no-satire
71393937-48f363c9,satire,satire
99e47074-92422c1d,no-satire,no-satire
f42e2bf7-77fd420b,satire,satire
4f44e66b-be166cf6,satire,satire
de7fdb07-a828c406,satire,satire
d5066459-256ccae6,satire,satire
611f35fb-c4823406,no-satire,no-satire
ae3f7dd1-c1b3e73c,satire,satire
05d0d283-b29006cb,satire,satire
46d249f0-c336e013,satire,satire
5e05b1ea-0141cd04,satire,satire
9dc90c83-ec21e314,no-satire,no-satire
b62b7780-5276cb87,no-satire,no-satire
5ea01b9e-b0028ca4,satire,satire
acf6873a-89e9ac3a,no-satire,no-satire
8199206e-7ffd8669,satire,satire
0c835a7f-db2a0098,no-satire,no-satire
07532550-99dcc859,satire,satire
be06332d-ee0459ae,no-satire,no-satire
f84deabd-2c758198,satire,satire
e3e4d174-50dfdaa7,no-satire,no-satire
76c92b58-7dd3102c,no-satire,no-satire
4117cc70-0e478d1b,no-satire,no-satire
e149fb56-de81bc50,no-satire,no-satire
e32d959f-5c25356f,satire,satire
fe4fcfc4-31d49fbd,satire,satire
b221f29c-9fecf261,satire,satire
c2a7aad8-afd73ba9,no-satire,no-satire
764952fc-9f3e91c1,satire,satire
410cd71b-528e73ef,satire,satire
68bb1988-0c05711b,no-satire,no-satire
15654c78-d30f3ad7,satire,satire
236bd569-1a43ee68,satire,satire
170a1f93-1b36ed9a,no-satire,no-satire
b0b34c6a-ee24702b,no-satire,no-satire
313bdd63-4f9480a1,satire,satire
bb169e5e-c9dcaf9b,no-satire,no-satire
610f9bde-3159d176,satire,satire
3d4ee1a8-64455619,no-satire,no-satire
5a558b7f-15c26cc6,satire,satire
be9d9ef0-29754d89,satire,satire
a5965e9a-068c49b0,no-satire,no-satire
dd82b624-3f90f5e4,satire,satire
d2cdd26a-d91509df,no-satire,no-satire
61017d2e-0ca396b3,no-satire,no-satire
b6b9f38d-90a54915,no-satire,no-satire
25f9c0c5-7e299041,no-satire,no-satire
f292624e-0cfaff85,no-satire,no-satire
61ad2faf-259fd5c5,satire,satire
883170eb-b376b8d2,satire,satire
22af51f2-3020cf94,satire,satire
f5a845c0-88aee157,no-satire,no-satire
21d3b158-d21f3660,no-satire,no-satire
fe72761a-140c1b28,no-satire,no-satire
4f50c786-e0993941,satire,satire
dd132e2e-d622711a,satire,satire
85108d99-c61f74d3,no-satire,no-satire
eb7e3e6e-7a597d98,satire,satire
64fb1e15-08408ae7,no-satire,no-satire
6f15f7f5-15d043f3,satire,satire
bd4581aa-dbcddce0,no-satire,no-satire
ad45945f-931631b3,satire,satire
3c7aa507-cb38f678,satire,satire
640be8b9-b5de74d6,satire,satire
fef24849-335b2db7,satire,satire
07e54c89-1fc7d5ae,no-satire,no-satire
bc8057bb-291dd60c,satire,satire
16b5e4e0-30a05632,no-satire,no-satire
c4c629eb-8d2125cd,no-satire,no-satire
d965cf67-5710d679,no-satire,no-satire
3be76483-403de713,satire,satire
d74fde5e-9d976e9a,satire,satire
359b66d3-8f8f6b5e,satire,satire
58cc8346-027f35f6,satire,satire
53623522-a6217e96,no-satire,no-satire
37a1fb1f-3919a28a,no-satire,no-satire
ff4bfea0-025d7842,satire,satire
f3ef22f7-110756eb,satire,satire
af8715e2-d86f7e49,satire,satire
01c6fc25-e186d0b6,satire,satire
e8e0472a-63d0065f,satire,satire
a2698224-6a226878,no-satire,no-satire
d3027f4e-0ce7e4c7,no-satire,no-satire
25a62cd8-540d1a90,no-satire,no-satire
826d5ef6-56b740e1,no-satire,no-satire
160f22b1-8a81318a,no-satire,no-satire
cf5de6a4-519c669d,no-satire,no-satire
297cfa5b-6f2c471f,satire,satire
ecb33342-1b3a89a2,satire,satire
78914247-bbed47d7,satire,satire
1f94bd78-956e6e08,satire,satire
c0731b9b-3bda64fe,satire,satire
7560faed-aa6b976e,no-satire,no-satire
b9fcc95f-98d8e933,satire,satire
5fe39058-279c5f8b,no-satire,no-satire
c802b58e-6a76913e,satire,satire
c4b0883e-adf938ee,no-satire,no-satire
f0a55978-f2f916cf,satire,satire
e4603a4e-6528c7fc,no-satire,no-satire
689c6886-f75325ff,no-satire,no-satire
c33a8feb-048b3e84,no-satire,no-satire
cfefc03b-a271d8b3,no-satire,no-satire
42e5d28a-d3ac2e1d,no-satire,no-satire
da11dc46-f54120b1,satire,satire
74514d76-91c92e20,satire,satire
0b6f9a7a-17356882,no-satire,no-satire
3378d8c9-cc6bf3bd,no-satire,no-satire
2dc64473-f2493dd8,no-satire,no-satire
7e1e2606-263fdbbb,satire,satire
89a5cb7c-d868d763,no-satire,no-satire
d4277887-8aea77f5,no-satire,no-satire
02b36e98-19ca5d71,no-satire,no-satire
fc0d77bd-87596f1d,satire,satire
d00583ec-129bf7a5,no-satire,no-satire
1116681c-d37e24d6,satire,satire
6a7aa3df-0d86e5c8,no-satire,no-satire
cd0e06b2-7db428ec,satire,satire
50a7de96-2d245cd5,satire,satire
adcdb1c5-47a4a34a,satire,satire
3d2a9f87-daabaccf,satire,satire
d6d31c0f-d526d7d2,satire,satire
66c6c49a-5d9b60c0,satire,satire
b697e475-28eaa06d,no-satire,no-satire
528252e8-64cded11,no-satire,no-satire
78410538-2df0aa87,satire,satire
25347f34-7d88680c,no-satire,no-satire
75e7df59-d56f88aa,satire,satire
2034e93a-5f1e7cd4,satire,satire
1ccafa7c-a1b230d6,no-satire,no-satire
4e7506d7-5d281bcb,no-satire,no-satire
4955f4f8-5e841e25,satire,satire
d72493ea-736a2cf1,satire,satire
c9df0006-a86c1253,no-satire,no-satire
5d024137-abe701c9,no-satire,no-satire
08272221-569ca759,no-satire,no-satire
87683b16-ef424062,no-satire,no-satire
05fe65e0-a78f5040,no-satire,no-satire
d4b4a132-7b252dc5,no-satire,no-satire
9493136c-381f3b35,no-satire,no-satire
13bb779a-84fcf5a6,satire,satire
a071245d-5c9cd992,no-satire,no-satire
